Time [s], Analyzer Name, Decoded Protocol Result
0.600048500000000,Async Serial,'0' (framing error)
2.455111000000000,Async Serial,'255'
2.505363500000000,Async Serial,'27'
2.505631500000000,Async Serial,8
2.505899500000000,Async Serial,'0'
2.506168000000000,Async Serial,'0'
2.508742000000000,Async Serial,'27'
2.509009500000000,Async Serial,@
2.510432000000000,Async Serial,'27'
2.510700000000000,Async Serial,D
2.512123000000000,Async Serial,'4'
2.512397500000000,Async Serial,'8'
2.512666000000000,Async Serial,'12'
2.512934000000000,Async Serial,'16'
2.515501000000000,Async Serial,'20'
2.515769000000000,Async Serial,'24'
2.516037500000000,Async Serial,'28'
2.516305500000000,Async Serial,'0'
2.518879500000000,Async Serial,'27'
2.519147000000000,Async Serial,7
2.520568000000000,Async Serial,'11'
2.520836000000000,Async Serial,x
2.521103500000000,Async Serial,(
3.520698000000000,Async Serial,'27'
3.520965500000000,Async Serial,!
3.521234000000000,Async Serial,'16'
3.523234000000000,Async Serial,'27'
3.523508000000000,Async Serial,!
3.523776000000000,Async Serial,0
3.525773000000000,Async Serial,T
3.526623000000000,Async Serial,O
3.527476500000000,Async Serial,T
3.528324500000000,Async Serial,A
3.529182500000000,Async Serial,L
3.530032500000000,Async Serial,' '
3.530883000000000,Async Serial,' '
3.531737000000000,Async Serial,$
3.532587500000000,Async Serial,' '
3.533439500000000,Async Serial,3
3.534297000000000,Async Serial,4
3.535151000000000,Async Serial,5
3.536002500000000,Async Serial,\n
4.988441000000000,Async Serial,'27'
4.988715000000000,Async Serial,!
4.988983500000000,Async Serial,'16'
4.990979500000000,Async Serial,'27'
4.991247500000000,Async Serial,!
4.991516000000000,Async Serial,'0'
4.993517000000000,Async Serial,(
4.994367000000000,Async Serial,T
4.995217000000000,Async Serial,r
4.996066500000000,Async Serial,e
4.996920500000000,Async Serial,s
4.997771500000000,Async Serial,c
4.998629000000000,Async Serial,i
4.999483000000000,Async Serial,e
5.000332500000000,Async Serial,n
5.001182500000000,Async Serial,t
5.002032000000000,Async Serial,o
