Time [s], Analyzer Name, Decoded Protocol Result
10.540021500000000,Async Serial,s
10.540879000000000,Async Serial,u
10.541729000000000,Async Serial,' '
10.542583000000000,Async Serial,p
10.543433000000000,Async Serial,r
10.544284500000000,Async Serial,e
10.545142000000000,Async Serial,f
10.545999500000001,Async Serial,e
10.546849500000000,Async Serial,r
10.547699000000000,Async Serial,e
10.548549000000000,Async Serial,n
10.549400000000000,Async Serial,c
10.550257500000001,Async Serial,i
10.551114999999999,Async Serial,a
10.551966500000001,Async Serial,\n
11.284914000000001,Async Serial,'27'
11.285181500000000,Async Serial,d
11.285456000000000,Async Serial,\n
